Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Robert Parish\parisro01,0.01,37,81,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,0.198
Joe Dumars\dumarjo01,0.008,27,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155
Bernard King\kingbe01,0.007,34,64,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07
Kenny Smith\smithke01,0.005,25,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,0.161
Hakeem Olajuwon\olajuha01,0.004,28,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,0.201
Tim Hardaway\hardati01,0.001,24,82,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148
Kevin McHale\mchalke01,0.001,33,68,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182
Michael Jordan\jordami01,0.938,28,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
Clyde Drexler\drexlcl01,0.584,29,76,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
David Robinson\robinda01,0.351,26,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
Karl Malone\malonka01,0.273,28,81,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237
Patrick Ewing\ewingpa01,0.104,29,82,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198
Chris Mullin\mullich01,0.084,28,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
Mark Price\pricema01,0.069,27,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
Tim Hardaway\hardati01,0.067,25,81,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132
Scottie Pippen\pippesc01,0.033,26,82,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192
Dennis Rodman\rodmade01,0.027,30,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
Brad Daugherty\daughbr01,0.025,26,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213
Charles Barkley\barklch01,0.019,28,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
John Stockton\stockjo01,0.019,29,82,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215
Larry Bird\birdla01,0.003,35,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159
Kevin Johnson\johnske02,0.002,25,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165
Danny Manning\mannida01,0.001,25,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162
Detlef Schrempf\schrede01,0.001,29,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181
Charles Barkley\barklch01,0.852,29,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242
Hakeem Olajuwon\olajuha01,0.66,30,82,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234
Michael Jordan\jordami01,0.577,29,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
Patrick Ewing\ewingpa01,0.366,30,81,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17
Dominique Wilkins\wilkido01,0.055,33,71,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191
David Robinson\robinda01,0.034,27,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
Shaquille O'Neal\onealsh01,0.031,20,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163
Karl Malone\malonka01,0.01,29,82,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238
Mark Price\pricema01,0.01,28,75,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197
Brad Daugherty\daughbr01,0.001,27,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
Clyde Drexler\drexlcl01,0.001,30,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171
Joe Dumars\dumarjo01,0.001,29,77,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141
Shawn Kemp\kempsh01,0.001,23,78,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169
John Stockton\stockjo01,0.001,30,82,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177
Hakeem Olajuwon\olajuha01,0.88,31,80,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
David Robinson\robinda01,0.723,28,80,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296
Scottie Pippen\pippesc01,0.386,28,72,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194
Shaquille O'Neal\onealsh01,0.286,21,81,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252
Patrick Ewing\ewingpa01,0.252,31,79,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211
Gary Payton\paytoga01,0.02,25,82,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155
Shawn Kemp\kempsh01,0.017,24,79,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216
Karl Malone\malonka01,0.017,30,82,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193
Mark Price\pricema01,0.007,29,76,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201
Charles Barkley\barklch01,0.005,30,65,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185
Mookie Blaylock\blaylmo01,0.001,26,81,36,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168
Kevin Johnson\johnske02,0.001,27,67,36.6,20,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17
Dennis Rodman\rodmade01,0.001,32,79,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14
Latrell Sprewell\sprewla01,0.001,23,82,43.1,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,0.108
John Stockton\stockjo01,0.001,31,82,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214
Dominique Wilkins\wilkido01,0.001,34,74,35.6,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153
Kevin Willis\willike02,0.001,31,80,35.8,19.1,12,1.9,1,0.5,0.499,0.375,0.713,10.2,0.17
David Robinson\robinda01,0.858,29,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
Shaquille O'Neal\onealsh01,0.576,22,79,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23
Karl Malone\malonka01,0.507,31,82,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212
Patrick Ewing\ewingpa01,0.219,32,79,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157
Hakeem Olajuwon\olajuha01,0.14,32,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
Charles Barkley\barklch01,0.091,31,68,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
Scottie Pippen\pippesc01,0.079,29,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
John Stockton\stockjo01,0.045,32,82,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
Gary Payton\paytoga01,0.032,26,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
Anfernee Hardaway\hardaan01,0.022,23,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
Michael Jordan\jordami01,0.011,31,17,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
Dennis Rodman\rodmade01,0.009,33,49,32,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,0.178
Jason Kidd\kiddja01,0.007,21,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
Clyde Drexler\drexlcl01,0.003,32,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206
Cedric Ceballos\cebalce01,0.001,25,58,35,21.7,8,1.8,1,0.3,0.509,0.397,0.716,5.2,0.123
Michael Jordan\jordami01,0.986,32,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
David Robinson\robinda01,0.508,30,82,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,0.29
Anfernee Hardaway\hardaan01,0.319,24,82,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,0.229
Hakeem Olajuwon\olajuha01,0.211,33,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
Scottie Pippen\pippesc01,0.2,30,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
Gary Payton\paytoga01,0.087,27,81,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
Karl Malone\malonka01,0.075,32,82,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
Shawn Kemp\kempsh01,0.065,26,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
Grant Hill\hillgr01,0.056,23,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
Shaquille O'Neal\onealsh01,0.056,23,54,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
John Stockton\stockjo01,0.011,33,82,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13,0.214
Charles Barkley\barklch01,0.007,32,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
Magic Johnson\johnsma02,0.007,36,32,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181
Alonzo Mourning\mournal01,0.005,25,70,38.2,23.2,10.4,2.3,1,2.7,0.523,0.3,0.685,9.9,0.178
Dennis Rodman\rodmade01,0.004,34,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143
Terrell Brandon\brandte01,0.003,25,75,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237
Mitch Richmond\richmmi01,0.003,30,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151
Karl Malone\malonka01,0.857,33,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268
Michael Jordan\jordami01,0.832,33,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283
Grant Hill\hillgr01,0.327,24,80,39.3,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223
Tim Hardaway\hardati01,0.207,30,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198
Glen Rice\ricegl01,0.117,29,79,42.6,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,0.154
Gary Payton\paytoga01,0.091,28,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193
Hakeem Olajuwon\olajuha01,0.083,34,78,36.6,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,0.154
Patrick Ewing\ewingpa01,0.05,34,78,37,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,9.8,0.163
Anthony Mason\masonan01,0.006,30,73,43.1,16.2,11.4,5.7,1,0.5,0.525,0.333,0.745,11.4,0.173
Shaquille O'Neal\onealsh01,0.006,24,51,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,8,0.197
Scottie Pippen\pippesc01,0.005,31,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203
Alonzo Mourning\mournal01,0.004,26,66,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174
Dikembe Mutombo\mutomdi01,0.003,30,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,11.3,0.183
Mitch Richmond\richmmi01,0.003,31,81,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166
John Stockton\stockjo01,0.003,34,82,35.3,14.4,2.8,10.5,2,0.2,0.548,0.422,0.846,13.6,0.226
Charles Barkley\barklch01,0.002,33,53,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224
Tom Gugliotta\guglito01,0.001,27,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103
Allen Iverson\iversal01,0.001,21,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065
Kevin Johnson\johnske02,0.001,30,70,38,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211
Steve Smith\smithst01,0.001,27,72,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154
Michael Jordan\jordami01,0.934,34,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
Karl Malone\malonka01,0.726,34,81,37.4,27,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259
Gary Payton\paytoga01,0.372,29,82,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19
Shaquille O'Neal\onealsh01,0.268,25,60,36.3,28.3,11.4,2.4,0.7,2.4,0.584,0,0.527,10.2,0.224
Tim Duncan\duncati01,0.128,21,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192
Tim Hardaway\hardati01,0.061,31,81,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185
David Robinson\robinda01,0.031,32,73,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269
Vin Baker\bakervi01,0.021,26,82,35.9,19.2,8,1.9,1.1,1,0.542,0.143,0.591,10.4,0.169
Grant Hill\hillgr01,0.02,25,81,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149
Scottie Pippen\pippesc01,0.012,32,44,37.5,19.1,5.2,5.8,1.8,1,0.447,0.318,0.777,6.6,0.193
Glen Rice\ricegl01,0.006,30,82,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,9.3,0.136
Antoine Walker\walkean02,0.005,21,82,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7,0.07
Jason Kidd\kiddja01,0.004,24,82,38,11.6,6.2,9.1,2,0.3,0.416,0.313,0.799,8,0.123
John Stockton\stockjo01,0.004,35,64,29,12,2.6,8.5,1.4,0.2,0.528,0.429,0.827,8,0.206
Mitch Richmond\richmmi01,0.003,32,70,36.7,23.2,3.3,4,1.3,0.2,0.445,0.389,0.864,7.9,0.148
Reggie Miller\millere01,0.002,32,81,34.5,19.5,2.9,2.1,1,0.1,0.477,0.429,0.868,12,0.206
Rik Smits\smitsri01,0.002,31,73,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0,0.783,6.1,0.141
Michael Finley\finlemi01,0.001,24,82,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,7.5,0.106
Rod Strickland\stricro02,0.001,31,76,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1,0.129
Karl Malone\malonka01,0.701,35,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252
Alonzo Mourning\mournal01,0.655,28,46,38.1,20.1,11,1.6,0.7,3.9,0.511,0,0.652,7.9,0.216
Tim Duncan\duncati01,0.627,22,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213
Allen Iverson\iversal01,0.27,23,48,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,0.173
Jason Kidd\kiddja01,0.135,25,50,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,0.188
Shaquille O'Neal\onealsh01,0.075,26,49,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0,0.54,9,0.255
Chris Webber\webbech01,0.043,25,42,40.9,20,13,4.1,1.4,2.1,0.486,0.118,0.454,3.6,0.102
Grant Hill\hillgr01,0.033,26,50,37,21.1,7.1,6,1.6,0.5,0.479,0,0.752,7.3,0.189
Gary Payton\paytoga01,0.03,30,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172
Kevin Garnett\garneke01,0.008,22,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146
Shawn Kemp\kempsh01,0.006,29,42,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,0.205
David Robinson\robinda01,0.005,33,49,31.7,15.8,10,2.1,1.4,2.4,0.509,0,0.658,8.4,0.261
Hakeem Olajuwon\olajuha01,0.003,36,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,0.175
Arvydas Sabonis\sabonar01,0.003,34,50,27,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,5.8,0.207
Darrell Armstrong\armstda01,0.002,30,50,30,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205
Vince Carter\cartevi01,0.001,22,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136
Anfernee Hardaway\hardaan01,0.001,27,50,38.9,15.8,5.7,5.3,2.2,0.5,0.42,0.286,0.706,5,0.122
Mark Jackson\jacksma01,0.001,33,49,28.2,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,3.8,0.134
Glenn Robinson\robingl01,0.001,26,47,33.6,18.4,5.9,2.1,1,0.9,0.459,0.392,0.87,4,0.122
Steve Smith\smithst01,0.001,29,36,36.5,18.7,4.2,3.3,1,0.3,0.402,0.338,0.849,4.4,0.162
Rasheed Wallace\wallara01,0.001,24,49,28.9,12.8,4.9,1.2,1,1.1,0.508,0.419,0.732,5,0.169
Shaquille O'Neal\onealsh01,0.998,27,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283
Kevin Garnett\garneke01,0.337,23,81,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172
Alonzo Mourning\mournal01,0.303,29,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226
Karl Malone\malonka01,0.258,36,82,35.9,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249
Tim Duncan\duncati01,0.205,23,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218
Gary Payton\paytoga01,0.149,31,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195
Allen Iverson\iversal01,0.109,24,70,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116
Grant Hill\hillgr01,0.093,27,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185
Chris Webber\webbech01,0.079,26,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179
Vince Carter\cartevi01,0.042,23,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182
Jason Kidd\kiddja01,0.021,26,67,39,14.3,7.2,10.1,2,0.4,0.409,0.337,0.829,8.5,0.156
Kobe Bryant\bryanko01,0.002,21,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202
Darrell Armstrong\armstda01,0.001,31,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.911,8,0.149
Michael Finley\finlemi01,0.001,26,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114
Reggie Miller\millere01,0.001,34,81,36.9,18.1,3,2.3,1,0.3,0.448,0.408,0.919,10.1,0.162
Jalen Rose\roseja01,0.001,27,80,37.2,18.2,4.8,4,1.1,0.6,0.471,0.393,0.827,7.3,0.118
Allen Iverson\iversal01,0.904,25,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
Tim Duncan\duncati01,0.569,24,82,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2
Shaquille O'Neal\onealsh01,0.466,28,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245
Chris Webber\webbech01,0.42,27,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186
Kevin Garnett\garneke01,0.122,24,81,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176
Tracy McGrady\mcgratr01,0.052,21,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189
Karl Malone\malonka01,0.017,37,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217
Jason Kidd\kiddja01,0.015,27,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15
Kobe Bryant\bryanko01,0.009,22,68,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196
David Robinson\robinda01,0.006,35,80,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246
Ray Allen\allenra02,0.006,25,82,38.2,22,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211
Vince Carter\cartevi01,0.006,24,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208
Paul Pierce\piercpa01,0.004,23,82,38,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16
Jerry Stackhouse\stackje01,0.002,26,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137
Michael Finley\finlemi01,0.001,27,82,42,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119
Anthony Mason\masonan01,0.001,34,80,40.7,16.1,9.6,3.1,1,0.3,0.482,0,0.781,11.6,0.171
John Stockton\stockjo01,0.001,38,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216
Tim Duncan\duncati01,0.757,25,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
Jason Kidd\kiddja01,0.712,28,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14
Shaquille O'Neal\onealsh01,0.552,29,67,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262
Tracy McGrady\mcgratr01,0.31,22,76,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189
Kobe Bryant\bryanko01,0.078,23,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199
Gary Payton\paytoga01,0.043,33,82,40.3,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183
Chris Webber\webbech01,0.029,28,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2
Dirk Nowitzki\nowitdi01,0.025,23,76,38,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,13.4,0.222
Allen Iverson\iversal01,0.023,26,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126
Ben Wallace\wallabe01,0.019,27,80,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19
Paul Pierce\piercpa01,0.017,24,82,40.3,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,12.9,0.187
Kevin Garnett\garneke01,0.013,25,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194
Michael Jordan\jordami01,0.013,38,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075
Steve Nash\nashst01,0.004,27,82,34.6,17.9,3.1,7.7,0.6,0,0.483,0.455,0.887,9.9,0.167
Jerry Stackhouse\stackje01,0.002,27,76,35.3,21.4,4.1,5.3,1,0.5,0.397,0.287,0.858,5.8,0.104
Mike Bibby\bibbymi01,0.001,23,80,33.2,13.7,2.8,5,1.1,0.2,0.453,0.37,0.803,6.3,0.113
Elton Brand\brandel01,0.001,22,80,37.8,18.2,11.6,2.4,1,2,0.527,0,0.742,13.6,0.216
Peja Stojaković\stojape01,0.001,24,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179
Tim Duncan\duncati01,0.808,26,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
Kevin Garnett\garneke01,0.732,26,82,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225
Kobe Bryant\bryanko01,0.417,24,82,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21
Tracy McGrady\mcgratr01,0.359,23,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262
Shaquille O'Neal\onealsh01,0.106,30,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0,0.622,13.2,0.25
Allen Iverson\iversal01,0.07,27,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127
Dirk Nowitzki\nowitdi01,0.036,24,80,39,25.1,9.9,3,1.4,1,0.463,0.379,0.881,16.1,0.249
Ben Wallace\wallabe01,0.028,28,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176
Jason Kidd\kiddja01,0.026,29,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182
Chris Webber\webbech01,0.016,29,67,39.1,23,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127
Jamal Mashburn\mashbja01,0.001,30,82,40.5,21.6,6.1,5.6,1,0.2,0.422,0.389,0.848,9,0.13
Steve Nash\nashst01,0.001,28,82,33.1,17.7,2.9,7.3,1,0.1,0.465,0.413,0.909,11.6,0.206
Paul Pierce\piercpa01,0.001,25,79,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157
Kevin Garnett\garneke01,0.991,27,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272
Tim Duncan\duncati01,0.582,27,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249
Jermaine O'Neal\onealje01,0.425,25,78,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155
Peja Stojaković\stojape01,0.228,26,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198
Kobe Bryant\bryanko01,0.172,25,65,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21
