Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Marques Johnson\johnsma01,0.004,25,60,31.7,16.5,6.1,3.6,1,0.6,0.532,0,0.7,6.2,0.158
Isiah Thomas\thomais01,0.004,20,72,33.8,17,2.9,7.8,2.1,0.2,0.424,0.288,0.704,2.3,0.046
Dennis Johnson\johnsde01,0.001,27,80,36.7,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.806,8.1,0.132
Mychal Thompson\thompmy01,0.001,27,79,39.6,20.8,11.7,4,0.9,1.4,0.523,0,0.628,8.2,0.125
Jay Vincent\vinceja01,0.001,22,81,32.4,21.4,7,2.2,1.1,0.3,0.497,0.25,0.716,5.6,0.102
Jamaal Wilkes\wilkeja01,0.001,28,82,35.4,21.1,4.8,1.7,1.1,0.3,0.525,0,0.732,7.7,0.127
Buck Williams\willibu01,0.001,21,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152
Moses Malone\malonmo01,0.96,27,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248
Larry Bird\birdla01,0.485,26,79,37.7,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,0.225
Magic Johnson\johnsma02,0.406,23,79,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0,0.8,12.5,0.207
Sidney Moncrief\moncrsi01,0.301,25,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233
Julius Erving\ervinju01,0.149,32,72,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217
Alex English\englial01,0.056,29,82,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166
Buck Williams\willibu01,0.053,22,82,36.1,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,0.185
Artis Gilmore\gilmoar01,0.044,33,82,34.1,18,12,1.5,0.5,2.3,0.626,0,0.74,11,0.189
George Gervin\gervige01,0.04,30,78,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159
Kareem Abdul-Jabbar\abdulka01,0.02,35,79,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,0.205
Jack Sikma\sikmaja01,0.017,27,75,34.2,18.2,11.4,3.1,1.2,0.9,0.464,0,0.837,9.8,0.183
Jeff Ruland\rulanje01,0.016,24,79,36.2,19.4,11,3,0.9,1,0.552,0.333,0.689,10.1,0.169
Terry Cummings\cummite01,0.013,21,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164
Maurice Lucas\lucasma01,0.012,30,77,33.6,16.5,10.4,2.8,0.7,0.6,0.474,0.333,0.781,7.1,0.132
Alton Lister\listeal01,0.007,24,80,23.6,8.4,7.1,1.4,0.6,2.2,0.529,0,0.537,3.8,0.096
Bernard King\kingbe01,0.005,26,68,32.5,21.9,4.8,2.9,1.3,0.2,0.528,0,0.722,7.5,0.163
Isiah Thomas\thomais01,0.005,21,81,38.2,22.9,4,7.8,2.5,0.4,0.472,0.288,0.71,7.4,0.115
Larry Drew\drewla01,0.004,24,75,35.9,20.1,2.8,8.1,1.7,0.1,0.492,0.125,0.82,7.2,0.128
Gus Williams\willigu01,0.004,29,80,34.5,20,2.6,8,2.3,0.3,0.477,0.047,0.751,8.5,0.148
Dan Roundfield\roundda01,0.003,29,77,36.5,19,11.4,2.9,0.8,1.5,0.47,0.185,0.749,7.4,0.127
Marques Johnson\johnsma01,0.002,26,80,35.7,21.4,7,4.5,1.3,0.7,0.509,0.2,0.735,10.7,0.18
Norm Nixon\nixonno01,0.001,27,79,34.3,15.1,2.6,7.2,1.3,0.1,0.475,0,0.744,3.9,0.069
Kiki Vandeweghe\vandeki01,0.001,24,82,35.5,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,11,0.182
Larry Bird\birdla01,0.858,27,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215
Bernard King\kingbe01,0.491,27,77,34.6,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,0.218
Magic Johnson\johnsma02,0.401,24,67,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191
Kareem Abdul-Jabbar\abdulka01,0.201,36,80,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,0.163
Isiah Thomas\thomais01,0.151,22,82,36.7,21.3,4,11.1,2.5,0.4,0.462,0.338,0.733,9.1,0.144
Julius Erving\ervinju01,0.129,33,77,34.8,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,0.18
Adrian Dantley\dantlad01,0.116,28,79,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235
Sidney Moncrief\moncrsi01,0.092,26,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198
Jeff Ruland\rulanje01,0.05,25,75,41.1,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,0.144
Moses Malone\malonmo01,0.046,28,71,36.8,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,0.175
Mark Aguirre\aguirma01,0.037,24,79,36.7,29.5,5.9,4.5,1,0.3,0.524,0.268,0.749,9,0.149
Bill Laimbeer\laimbbi01,0.012,26,82,34.9,17.3,12.2,1.8,0.6,1,0.53,0,0.866,10.8,0.181
Rickey Green\greenri01,0.011,29,81,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,7.9,0.138
World B. Free\freewo01,0.001,30,75,31.7,22.3,2.9,3,1.3,0.1,0.445,0.319,0.784,5.3,0.107
Marques Johnson\johnsma01,0.001,27,74,36.7,20.7,6.5,4.3,1.6,0.6,0.502,0.154,0.709,8.6,0.152
Larry Bird\birdla01,0.978,28,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238
Magic Johnson\johnsma02,0.338,25,77,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22
Moses Malone\malonmo01,0.279,29,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193
Kareem Abdul-Jabbar\abdulka01,0.264,37,79,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204
Terry Cummings\cummite01,0.177,23,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189
Michael Jordan\jordami01,0.172,21,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213
